question,answer
환불은 어떻게 하나요?,상품 수령 후 7일 이내에 고객센터를 통해 접수하시면 환불이 가능합니다.
환불이 안 되는 경우가 있나요?,포장을 훼손했거나 사용한 경우에는 환불이 불가능합니다.
환불은 어디서 신청하나요?,마이페이지 > 주문 내역 > 환불 신청 버튼을 통해 접수하실 수 있습니다.
교환은 어떻게 하나요?,수령 후 7일 이내에 고객센터에 교환 요청하실 수 있습니다.
배송은 얼마나 걸리나요?,"평균 배송 기간은 2~3일이며, 지역에 따라 달라질 수 있습니다."
주말에도 배송되나요?,"일부 지역은 주말 배송이 가능하며, 상세 내용은 배송 안내 페이지를 참고하세요."
배송비는 얼마인가요?,"3만원 이상 구매 시 무료배송, 그 외 2,500원의 배송비가 부과됩니다."
묶음 배송이 가능한가요?,같은 날 주문한 상품은 자동으로 묶음 배송됩니다.
쿠폰은 어디서 받을 수 있나요?,이벤트 페이지나 첫 구매 시 발급됩니다.
쿠폰은 어떻게 사용하나요?,결제 단계에서 보유 쿠폰을 선택하여 적용하실 수 있습니다.
쿠폰 중복 사용이 가능한가요?,쿠폰은 한 주문당 하나만 사용 가능합니다.
쿠폰 유효기간은 어떻게 확인하나요?,마이페이지 > 쿠폰함에서 확인 가능합니다.
회원 등급은 어떻게 되나요?,"누적 구매 금액에 따라 일반, 실버, 골드, VIP로 나뉘며 매월 1일 갱신됩니다."
포인트는 어떻게 적립되나요?,결제 금액의 1%가 포인트로 적립됩니다.
포인트는 언제 사용 가능한가요?,배송 완료 후 익일부터 사용하실 수 있습니다.
주문을 변경하고 싶어요,상품 준비 전 단계에서는 마이페이지에서 직접 변경하실 수 있습니다.
주문을 취소하고 싶어요,상품 준비 전 단계에서만 주문 취소가 가능합니다.
주문 상태는 어디서 확인하나요?,마이페이지 > 주문 내역에서 확인 가능합니다.
배송이 지연되고 있어요,택배사 물량 증가나 기상 상황에 따라 지연될 수 있습니다. 양해 부탁드립니다.
비회원도 주문 가능한가요?,비회원도 주문은 가능하지만 일부 혜택은 제공되지 않습니다.
비회원 주문은 어떻게 확인하나요?,주문 시 입력한 이메일과 주문번호로 조회 가능합니다.
상품이 누락되었어요,고객센터에 문의 주시면 빠르게 처리해드리겠습니다.
상품이 파손되었어요,사진과 함께 고객센터로 접수해 주세요.
배송지를 변경하고 싶어요,상품 준비 전 단계에서만 배송지 변경이 가능합니다.
영수증은 어디서 발급받나요?,마이페이지 > 주문 상세 페이지에서 영수증 출력이 가능합니다.
세금계산서 발급은 가능한가요?,사업자 등록증 제출 후 고객센터에 요청하시면 발급해드립니다.
선물 포장은 가능한가요?,일부 카테고리에서는 선물 포장이 제공됩니다.
현금영수증 신청은 어떻게 하나요?,결제 단계에서 현금영수증 발급 여부를 선택하시면 됩니다.
회원 탈퇴는 어떻게 하나요?,마이페이지 > 회원 정보 관리에서 탈퇴 신청하실 수 있습니다.
이벤트 참여 내역은 어디서 확인하나요?,마이페이지 > 이벤트 참여 내역에서 확인 가능합니다.
